"id","by","kids","score","time","title","type","url","createdAt","updatedAt"
8356469,"yaph","[\"8356641\",\"8356794\",\"8356664\",\"8356739\",\"8356852\",\"8356939\",\"8356956\",\"8356796\",\"8356734\",\"8356765\",\"8356662\",\"8356936\",\"8357871\",\"8356927\",\"8357319\",\"8356709\",\"8356844\",\"8357189\",\"8357589\",\"8356755\",\"8356738\",\"8356994\",\"8356955\",\"8356855\"]",64,1411492248,"JSONx is an IBM standard format to represent JSON as XML","story","http://pic.dhe.ibm.com/infocenter/wsdatap/v6r0m0/index.jsp?topic=%2Fcom.ibm.dp.xm.doc%2Fjson_jsonx.html","2014-10-23 05:30:31","2014-10-23 05:30:31"
8314749,"afshinmeh","[\"8314880\",\"8315025\",\"8314840\",\"8315388\",\"8314964\",\"8315018\",\"8315130\",\"8314943\",\"8315396\",\"8315245\",\"8315276\",\"8315119\",\"8315132\"]",58,1410680381,"Show HN: Homogenius – Packer/unpacker to reduce the size of JSON","story","http://homogenius.github.io/docs/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8432678,"chris-at","[\"8432888\",\"8432792\",\"8432785\",\"8433590\",\"8432915\",\"8433264\",\"8432796\",\"8433084\",\"8432853\",\"8432918\",\"8432993\",\"8432925\",\"8433180\",\"8432932\",\"8432962\",\"8433184\",\"8432984\",\"8433122\",\"8432949\",\"8432842\",\"8433386\",\"8432938\",\"8432822\",\"8432923\"]",50,1412866306,"Hjson, the Human JSON","story","http://laktak.github.io/hjson/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8389705,"mglukhovsky","[\"8390086\"]",17,1412099159,"Building an earthquake map with RethinkDB and GeoJSON","story","http://rethinkdb.com/blog/earthquake-geojson/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8434974,"adamnemecek",NULL,15,1412888012,"Handling JSON Web Tokens with Angular","story","https://auth0.com/blog/2014/10/01/handling-jwts-on-angular-is-finally-easier/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8429010,"jeffbarr","[\"8431102\",\"8429117\"]",11,1412797208,"DynamoDB Update – JSON, Expanded Free Tier, Flexible Scaling","story","http://aws.amazon.com/blogs/aws/dynamodb-update-json-and-more/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8335867,"tonyd256",NULL,9,1411055512,"Real World JSON Parsing with Swift","story","http://robots.thoughtbot.com/real-world-json-parsing-with-swift","2014-10-23 05:30:31","2014-10-23 05:30:31"
8433160,"quantisan",NULL,6,1412870304,"Amazon DynamoDB Update: JSON, Expanded Free Tier, Flexible Scaling, Larger Items","story","https://aws.amazon.com/blogs/aws/dynamodb-update-json-and-more/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+AmazonWebServicesBlog+%28Amazon+Web+Services+Blog%29","2014-10-23 05:30:31","2014-10-23 05:30:31"
8382509,"kkukavicic",NULL,6,1411992347,"Streaming JSON","story","http://www.iknownothing.com/2014/09/streaming-json-yeah/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8324071,"dpjanes",NULL,6,1410869414,"One URL: The Semantic Sensor Revolution (JSON-LD)","story","https://medium.com/@dpjanes/one-url-the-semantic-sensor-revolution-58b6d8c86c0f","2014-10-23 05:30:31","2014-10-23 05:30:31"
8321128,"avz",NULL,6,1410811364,"Jsonnet – Data Templating Language","story","http://google.github.io/jsonnet/doc/index.html","2014-10-23 05:30:31","2014-10-23 05:30:31"
8383209,"tonyd256",NULL,5,1412003364,"Parsing Embedded JSON and Arrays in Swift","story","http://robots.thoughtbot.com/parsing-embedded-json-and-arrays-in-swift","2014-10-23 05:30:31","2014-10-23 05:30:31"
8314813,"imd23","[\"8315767\",\"8317784\",\"8314833\",\"8314825\"]",5,1410683651,"Ask HN: Which HTTP verb should be used for a json api action /user/:id/retry?","story","","2014-10-23 05:30:31","2014-10-23 05:30:31"
8432492,"coreymgilmore",NULL,4,1412864501,"Amazon adds JSON support in DynamoDB","story","https://gigaom.com/2014/10/08/amazon-web-services-adds-json-support-to-dynamodb/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8425999,"elia","[\"8426890\"]",4,1412759704,"Why JSON sucks for configuration files","story","http://dev.mikamai.com/post/99319315864/why-json-sucks-for-user-configuration","2014-10-23 05:30:31","2014-10-23 05:30:31"
8320339,"coleifer",NULL,4,1410804246,"Postgresql HStore, JSON Data-type, and Arrays with Peewee ORM","story","http://charlesleifer.com/blog/postgresql-hstore-json-data-type-and-arrays-with-peewee-orm/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8422129,"skiskilo","[\"8422180\"]",3,1412699520,"JSON formatting and JavaScript","story","http://tech.pro/tutorial/2547/json-format-and-javascript","2014-10-23 05:30:31","2014-10-23 05:30:31"
8420014,"d2p",NULL,3,1412667609,"Newtonsoft.Json NuGet abuses install scripts to earn ad impression/revenue","story","https://github.com/JamesNK/Newtonsoft.Json/pull/387#issuecomment-58133201","2014-10-23 05:30:31","2014-10-23 05:30:31"
8417964,"chrisgannon",NULL,3,1412626198,"Show HN: Mocha AE Data to JSON Converter","story","http://chrisgannon.wordpress.com/2014/06/25/mocha-pro-corner-pin-data-to-json-converter/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8373262,"brwr",NULL,3,1411747271,"JSON Web Token Authentication with Django and AngularJS: Part One","story","http://jamesbrewer.io/2014/09/22/json-web-token-authentication-part-one/","2014-10-23 05:30:31","2014-10-23 05:30:31"
