"id","by","kids","score","time","title","type","url","createdAt","updatedAt"
7672218,"woutersf","[\"7672431\",\"7672289\",\"7672682\",\"7672383\",\"7672398\",\"7674201\",\"7672791\",\"7672305\",\"7672355\",\"7672846\",\"7675627\",\"7673766\",\"7672284\",\"7673142\",\"7672484\",\"7672412\",\"7672294\",\"7672352\",\"7672476\",\"7676566\",\"7672793\",\"7673796\",\"7672866\",\"7672430\",\"7672524\",\"7673504\",\"7673909\",\"7672292\",\"7672699\",\"7672245\"]",209,1398847997,"One of my Drupal sites was hacked","story","https://github.com/wouters-frederik/help_me_clear_this_up","2014-10-23 05:30:33","2014-10-23 05:30:33"
6717406,"porker","[\"6717573\",\"6718364\",\"6717605\",\"6718610\",\"6717952\",\"6718107\",\"6717559\",\"6718552\",\"6719346\",\"6717645\",\"6717947\",\"6718970\",\"6717518\",\"6717665\",\"6717859\",\"6717739\",\"6718375\",\"6718205\",\"6717615\",\"6717866\",\"6718227\",\"6718254\",\"6717617\",\"6717861\",\"6717793\"]",87,1384260073,"If Gmail were built with Drupal","story","http://bryanbraun.com/2013/11/09/if-gmail-were-built-with-drupal","2014-10-24 05:10:30","2014-10-24 05:10:30"
7477896,"lxbarth","[\"7478341\",\"7478095\",\"7477996\",\"7477975\",\"7478336\",\"7478178\",\"7478283\",\"7478959\",\"7480267\",\"7477968\"]",42,1395882742,"I Was Afraid of Angular.js Because it Reminded me of Drupal","story","http://daemon.co.za/2014/03/angular-reminded-me-of-drupal/","2014-10-24 05:10:28","2014-10-24 05:10:28"
7725080,"drewjaja","[\"7725267\",\"7725898\",\"7725313\",\"7725644\",\"7725243\",\"7725577\",\"7725636\",\"7725707\",\"7725242\",\"7725679\",\"7725560\",\"7725321\",\"7725121\",\"7725317\",\"7725421\",\"7725392\"]",19,1399720949,"Australian government likely to standardise on Drupal","story","http://www.computerworld.com.au/article/544726/australian_government_likely_standardise_drupal/","2014-10-23 05:30:33","2014-10-23 05:30:33"
8252078,"timmillwood","[\"8252533\",\"8252736\",\"8252353\"]",15,1409562387,"The Decline of Drupal, or How to Fix Drupal 8","story","http://mikeschinkel.com/blog/the-decline-of-drupal-or-how-to-fix-drupal-8/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8144359,"filmgirlcw",NULL,6,1407353351,"WordPress, Drupal XML Blowup Vulnerability Discovered","story","http://mashable.com/2014/08/06/wordpress-xml-blowup-dos/","2014-10-23 05:30:32","2014-10-23 05:30:32"
6742404,"wslh",NULL,4,1384552447,"Who are Drupal's competitors and what do they do particularly well?","story","https://groups.drupal.org/node/251648","2014-10-24 05:10:30","2014-10-24 05:10:30"
8443570,"ramigb",NULL,3,1413065552,"Drupal 8.0.0-beta1","story","https://www.drupal.org/node/2348025","2014-10-23 05:30:31","2014-10-23 05:30:31"
8144340,"krogsgard",NULL,3,1407353106,"WordPress and Drupal teams collaborate for simultaneous security releases","story","http://www.poststat.us/wordpress-and-drupal-collaborate-for-security-release/","2014-10-23 05:30:32","2014-10-23 05:30:32"
6593296,"blairwadman",NULL,3,1382461874,"Starting Drupal Module Development","story","http://befused.com/drupal/starting-module-development","2014-10-24 05:10:30","2014-10-24 05:10:30"
8342048,"regilero","[\"8366444\"]",2,1411154651,"Details of DRUPAL_SA_CORE_2014_003 Deny of Service","story","http://regilero.github.io/security/english/2014/09/19/drupal-details_ofdrupal_sa_core_2014_003_dos/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8234042,"of",NULL,2,1409165801,"Drupal 8 for developers","story","https://www.drupal.org/drupal-8.0/developers","2014-10-23 05:30:31","2014-10-23 05:30:31"
8207293,"geerlingguy",NULL,2,1408628860,"Solr and Drupal, a History","story","http://www.midwesternmac.com/blogs/jeff-geerling/solr-drupal-developers-part-2","2014-10-23 05:30:32","2014-10-23 05:30:32"
8145452,"jonobird1","[\"8145758\"]",2,1407367627,"Major Vulnerability for Drupal 6 and 7","story","https://www.drupal.org/SA-CORE-2014-004","2014-10-23 05:30:32","2014-10-23 05:30:32"
7914511,"sam152",NULL,2,1403152901,"Building the NYTimes \"Scoop\" CMS using Drupal","story","http://codedrop.com.au/blog/building-nytimes-scoop-cms-using-drupal","2014-10-23 05:30:32","2014-10-23 05:30:32"
7888528,"tangoalpha",NULL,2,1402664154,"Language, Twitter, Misunderstanding and Drupal Community","story","http://morten.dk/blog/language-twitter-misunderstanding-drupal-community","2014-10-23 05:30:33","2014-10-23 05:30:33"
7743564,"rmac223","[\"7744023\"]",2,1400074173,"Ultimate Guide to Drupal 8: Episode 2 – Mobile Improvements","story","https://www.acquia.com/blog/ultimate-guide-drupal-8-episode-2-mobile-improvements","2014-10-23 05:30:33","2014-10-23 05:30:33"
7644632,"gevaperry",NULL,2,1398397166,"MEAN.io and Drupal","story","http://blog.mean.io/2014/03/mean-io-and-drupal/","2014-10-23 05:30:33","2014-10-23 05:30:33"
7547264,"oldbie",NULL,2,1396886480,"Angie Byron on Drupal 8 out of the box","story","http://opensource.com/life/14/4/video-interview-angie-byron-drupal","2014-10-23 05:30:34","2014-10-23 05:30:34"
7438458,"softwareman",NULL,2,1395347269,"Ask HN: Drupal websites?","story","","2014-10-24 05:10:28","2014-10-24 05:10:28"
