"TotalScore","YearValue","WeekValue"
2,2007,30
4,2007,36
7,2008,13
2,2008,20
1,2008,44
26,2008,52
22,2009,9
19,2009,13
1,2009,26
5,2009,44
1,2010,5
262,2010,41
29,2010,42
299,2010,43
153,2010,45
60,2010,47
27,2010,48
2,2010,49
14,2010,50
1,2010,51
115,2010,52
2,2011,2
111,2011,3
133,2011,4
118,2011,5
111,2011,6
117,2011,7
145,2011,8
17,2011,9
104,2011,10
68,2011,11
3,2011,12
44,2011,13
20,2011,14
78,2011,15
69,2011,16
15,2011,17
46,2011,18
4,2011,19
33,2011,20
5,2011,21
44,2011,22
248,2011,23
32,2011,25
170,2011,26
67,2011,27
52,2011,28
56,2011,29
113,2011,30
136,2012,5
219,2012,6
497,2012,7
338,2012,8
141,2012,9
117,2012,10
261,2012,11
96,2012,12
346,2012,13
100,2012,14
364,2012,15
156,2012,16
121,2012,17
140,2012,18
92,2012,19
74,2012,20
130,2012,21
197,2012,22
318,2012,23
336,2012,24
299,2012,25
38,2012,26
20,2012,27
64,2012,28
185,2012,29
446,2012,30
165,2012,31
38,2012,32
17,2012,33
193,2012,34
216,2012,35
80,2012,36
74,2012,37
30,2012,38
7,2012,39
55,2012,40
45,2012,41
71,2012,42
16,2012,43
18,2012,44
15,2012,45
350,2012,46
36,2012,47
9,2012,48
5,2012,49
237,2012,50
145,2012,51
242,2012,52
4,2012,53
181,2013,0
187,2013,1
89,2013,2
161,2013,3
596,2013,4
11,2013,5
34,2013,6
96,2013,7
9,2013,8
121,2013,9
65,2013,10
433,2013,11
260,2013,12
212,2013,13
19,2013,14
294,2013,15
22,2013,16
12,2013,17
73,2013,18
30,2013,19
73,2013,20
104,2013,21
51,2013,22
36,2013,23
15,2013,24
49,2013,25
22,2013,26
12,2013,27
9,2013,28
5,2013,29
68,2013,30
23,2013,31
64,2013,32
4,2013,33
69,2013,34
3,2013,35
11,2013,36
52,2013,37
133,2013,38
14,2013,39
126,2013,40
149,2013,41
10,2013,42
158,2013,43
128,2013,44
25,2013,45
6,2013,46
5,2013,47
19,2013,48
18,2013,49
61,2013,50
6,2013,51
7,2014,1
20,2014,2
4,2014,3
4,2014,4
10,2014,5
81,2014,6
4,2014,7
14,2014,8
10,2014,9
2,2014,10
63,2014,11
10,2014,12
3,2014,13
1,2014,14
145,2014,15
5,2014,16
7,2014,17
3,2014,18
7,2014,19
11,2014,20
2,2014,21
3,2014,23
6,2014,24
3,2014,25
2,2014,26
58,2014,27
17,2014,28
294,2014,29
5,2014,30
18,2014,31
3,2014,32
11,2014,34
2,2014,35
8,2014,36
106,2014,37
2,2014,38
8,2014,39
1,2014,40
