"TotalScore","YearValue","WeekValue"
1,2007,43
1,2007,49
8,2007,51
3,2008,6
3,2008,9
1,2008,10
3,2008,21
1,2008,26
5,2008,28
10,2008,29
4,2008,34
3,2008,35
9,2008,36
3,2008,37
20,2008,39
16,2008,41
1,2008,46
1,2008,48
2,2009,2
10,2009,7
4,2009,9
6,2009,10
2,2009,11
5,2009,12
17,2009,14
1,2009,15
1,2009,16
1,2009,18
1,2009,20
1,2009,21
1,2009,24
3,2009,25
1,2009,26
12,2009,27
1,2009,28
14,2009,29
1,2009,31
4,2009,32
2,2009,33
2,2009,35
28,2009,36
3,2009,37
1,2009,38
1,2009,39
111,2009,40
7,2009,41
48,2009,42
15,2009,43
7,2009,44
2,2009,45
23,2009,46
1,2009,49
8,2009,50
4,2010,1
1,2010,2
3,2010,3
15,2010,4
3,2010,7
19,2010,8
5,2010,37
2,2010,38
17,2010,40
2,2010,41
15,2010,42
4,2010,43
17,2010,44
1,2010,45
1,2010,46
9,2010,47
8,2010,48
51,2010,49
3,2010,50
3,2010,51
4,2010,52
136,2011,1
3,2011,2
2,2011,3
5,2011,4
2,2011,5
10,2011,6
9,2011,7
9,2011,8
3,2011,9
11,2011,10
2,2011,11
2,2011,12
5,2011,13
3,2011,14
1,2011,16
15,2011,17
2,2011,18
4,2011,19
2,2011,20
3,2011,21
1,2011,22
2,2011,23
4,2011,24
8,2011,25
1,2011,26
1,2011,27
1,2011,28
5,2011,29
5,2011,30
0,2012,5
5,2012,6
11,2012,7
2,2012,8
1,2012,9
2,2012,10
7,2012,12
4,2012,13
1,2012,14
5,2012,15
10,2012,16
2,2012,17
7,2012,18
3,2012,19
4,2012,20
1,2012,21
5,2012,22
2,2012,23
6,2012,24
1,2012,25
6,2012,26
1,2012,30
7,2012,32
12,2012,33
3,2012,34
5,2012,35
5,2012,37
2,2012,38
2,2012,39
198,2012,40
7,2012,41
3,2012,43
4,2012,44
1,2012,45
4,2012,46
3,2012,47
1,2012,48
1,2012,49
2,2012,50
1,2012,53
5,2013,0
3,2013,1
2,2013,2
7,2013,4
88,2013,5
8,2013,6
2,2013,7
5,2013,8
6,2013,9
166,2013,10
34,2013,11
6,2013,12
13,2013,13
5,2013,14
6,2013,15
21,2013,17
2,2013,18
2,2013,19
14,2013,20
165,2013,21
6,2013,22
12,2013,23
1,2013,24
3,2013,25
46,2013,26
3,2013,27
3,2013,28
1,2013,29
3,2013,30
8,2013,31
15,2013,32
2,2013,33
2,2013,35
13,2013,36
2,2013,37
1,2013,39
2,2013,40
4,2013,41
4,2013,42
1,2013,43
92,2013,45
1,2013,46
2,2013,48
2,2014,2
2,2014,3
1,2014,5
1,2014,6
1,2014,8
2,2014,9
1,2014,10
4,2014,11
42,2014,12
1,2014,13
3,2014,14
2,2014,16
209,2014,17
22,2014,18
2,2014,19
1,2014,21
5,2014,22
2,2014,23
3,2014,24
1,2014,27
2,2014,28
1,2014,29
1,2014,30
14,2014,31
1,2014,32
2,2014,33
3,2014,34
15,2014,35
2,2014,37
3,2014,39
4,2014,40
