"TotalScore","YearValue","WeekValue"
11,2007,13
3,2007,17
3,2007,23
1,2007,36
2,2007,37
2,2007,39
17,2007,40
8,2007,48
6,2007,49
1,2008,8
6,2008,10
4,2008,19
15,2008,20
3,2008,25
20,2008,26
6,2008,27
11,2008,30
9,2008,32
2,2008,33
1,2008,34
37,2008,36
1,2008,37
1,2008,43
1,2008,44
5,2008,46
3,2008,49
3,2008,50
2,2008,51
22,2009,4
2,2009,5
10,2009,6
1,2009,7
59,2009,9
11,2009,10
1,2009,11
71,2009,13
66,2009,14
2,2009,15
7,2009,16
15,2009,17
8,2009,19
59,2009,20
5,2009,21
44,2009,24
27,2009,25
42,2009,27
1,2009,28
23,2009,29
1,2009,30
1,2009,31
78,2009,32
23,2009,33
35,2009,34
8,2009,35
23,2009,36
4,2009,37
5,2009,38
1,2009,39
21,2009,40
3,2009,41
46,2009,43
3,2009,44
1,2009,45
1,2009,46
48,2009,47
1,2009,48
75,2009,49
1,2009,50
59,2009,51
9,2009,52
1,2010,1
4,2010,2
20,2010,3
6,2010,6
3,2010,8
3,2010,37
29,2010,38
5,2010,39
13,2010,40
10,2010,41
2,2010,42
1,2010,43
32,2010,44
41,2010,45
73,2010,46
28,2010,47
5,2010,48
44,2010,49
18,2010,50
6,2010,51
1,2010,52
1,2011,0
149,2011,1
24,2011,2
5,2011,3
68,2011,4
29,2011,5
35,2011,6
117,2011,7
102,2011,8
163,2011,9
31,2011,10
15,2011,11
237,2011,12
48,2011,13
12,2011,14
79,2011,15
57,2011,16
57,2011,17
3,2011,18
4,2011,19
460,2011,20
149,2011,21
51,2011,22
7,2011,23
197,2011,24
170,2011,25
1,2011,26
5,2011,27
267,2011,28
79,2011,29
27,2011,30
2,2012,5
140,2012,6
120,2012,7
23,2012,8
75,2012,9
18,2012,10
146,2012,11
48,2012,12
99,2012,13
5,2012,14
23,2012,15
59,2012,16
168,2012,17
245,2012,18
74,2012,19
158,2012,20
6,2012,21
76,2012,22
115,2012,23
87,2012,24
8,2012,25
10,2012,26
9,2012,27
4,2012,28
13,2012,29
3,2012,30
16,2012,31
10,2012,32
99,2012,33
221,2012,34
358,2012,36
18,2012,37
431,2012,38
9,2012,39
30,2012,40
64,2012,41
100,2012,42
161,2012,43
71,2012,44
42,2012,45
10,2012,46
100,2012,47
10,2012,50
10,2012,51
407,2012,52
61,2012,53
128,2013,0
14,2013,1
53,2013,2
40,2013,3
314,2013,4
434,2013,5
94,2013,6
111,2013,7
88,2013,8
7,2013,9
13,2013,10
85,2013,11
74,2013,12
30,2013,13
12,2013,14
110,2013,15
82,2013,16
247,2013,17
40,2013,18
59,2013,19
143,2013,20
170,2013,21
4,2013,22
7,2013,23
28,2013,24
81,2013,25
68,2013,26
128,2013,27
37,2013,28
79,2013,29
178,2013,30
19,2013,31
90,2013,32
235,2013,33
10,2013,34
12,2013,35
184,2013,36
65,2013,37
3,2013,38
185,2013,39
314,2013,40
16,2013,41
56,2013,42
6,2013,43
228,2013,44
58,2013,45
13,2013,46
6,2013,47
15,2013,48
71,2013,49
2,2013,50
5,2013,51
326,2013,52
1,2014,0
11,2014,1
8,2014,2
103,2014,3
239,2014,4
25,2014,5
176,2014,6
108,2014,7
241,2014,8
11,2014,9
156,2014,10
18,2014,11
465,2014,12
86,2014,13
26,2014,14
14,2014,15
110,2014,16
152,2014,17
222,2014,18
68,2014,19
48,2014,20
25,2014,21
270,2014,22
104,2014,23
383,2014,24
24,2014,25
14,2014,26
95,2014,27
8,2014,28
5,2014,29
27,2014,30
115,2014,31
25,2014,32
165,2014,33
15,2014,34
26,2014,35
545,2014,36
98,2014,37
91,2014,38
32,2014,39
105,2014,40
1,2014,41
