"TotalScore","YearValue","WeekValue"
22,2007,7
4,2007,11
1,2007,16
2,2007,24
10,2007,25
3,2007,26
3,2007,48
26,2007,50
2,2008,6
6,2008,10
1,2008,11
4,2008,18
1,2008,19
1,2008,32
14,2008,33
5,2008,35
1,2008,36
1,2008,37
1,2008,41
28,2008,43
11,2008,44
7,2008,46
17,2008,47
3,2008,48
1,2008,50
6,2009,0
2,2009,1
5,2009,2
18,2009,4
4,2009,6
7,2009,7
10,2009,9
1,2009,11
1,2009,12
6,2009,15
62,2009,16
23,2009,17
90,2009,18
64,2009,19
8,2009,20
1,2009,23
3,2009,25
58,2009,27
25,2009,28
11,2009,30
28,2009,31
3,2009,32
7,2009,33
4,2009,35
21,2009,37
8,2009,38
50,2009,39
41,2009,40
1,2009,41
1,2009,42
38,2009,44
1,2009,45
3,2009,46
5,2009,47
2,2009,49
3,2009,50
70,2009,51
6,2010,1
4,2010,2
40,2010,3
142,2010,4
4,2010,5
29,2010,6
25,2010,7
4,2010,8
6,2010,38
5,2010,39
20,2010,40
4,2010,41
13,2010,42
7,2010,43
2,2010,44
1,2010,45
7,2010,47
19,2010,49
7,2010,50
1,2010,52
1,2011,1
10,2011,3
161,2011,4
5,2011,5
10,2011,6
10,2011,8
33,2011,9
341,2011,10
886,2011,11
92,2011,12
108,2011,13
31,2011,14
28,2011,15
33,2011,16
1,2011,17
34,2011,18
109,2011,19
207,2011,20
6,2011,21
3,2011,22
124,2011,23
11,2011,24
75,2011,25
14,2011,26
227,2011,27
25,2011,28
10,2011,30
1,2011,31
5,2012,5
113,2012,6
137,2012,7
22,2012,8
24,2012,9
10,2012,10
1,2012,11
228,2012,12
2,2012,13
88,2012,14
8,2012,15
15,2012,16
1,2012,17
146,2012,18
5,2012,19
269,2012,20
34,2012,21
11,2012,22
10,2012,23
267,2012,24
87,2012,25
8,2012,26
2,2012,27
25,2012,29
356,2012,30
41,2012,31
12,2012,32
3,2012,33
5,2012,34
125,2012,35
21,2012,36
9,2012,37
1,2012,38
5,2012,39
15,2012,40
13,2012,41
75,2012,42
15,2012,43
6,2012,44
179,2012,45
2,2012,46
2,2012,47
29,2012,48
2,2012,49
12,2012,50
6,2012,51
45,2012,52
8,2013,0
7,2013,1
356,2013,2
257,2013,3
76,2013,4
95,2013,5
17,2013,6
69,2013,7
6,2013,8
75,2013,9
52,2013,10
4,2013,11
16,2013,12
95,2013,13
14,2013,14
14,2013,15
4,2013,16
40,2013,17
7,2013,18
98,2013,19
24,2013,20
507,2013,21
195,2013,22
52,2013,23
14,2013,24
29,2013,25
431,2013,26
456,2013,27
62,2013,28
141,2013,29
6,2013,30
23,2013,31
161,2013,32
32,2013,33
512,2013,34
23,2013,35
49,2013,36
25,2013,37
16,2013,38
16,2013,39
29,2013,40
371,2013,41
14,2013,42
59,2013,43
21,2013,44
25,2013,45
66,2013,46
38,2013,47
28,2013,48
124,2013,49
205,2013,50
20,2013,51
168,2013,52
279,2014,0
145,2014,1
38,2014,2
266,2014,3
53,2014,4
181,2014,5
146,2014,6
128,2014,7
37,2014,8
26,2014,9
11,2014,10
179,2014,11
84,2014,12
126,2014,13
199,2014,14
331,2014,15
91,2014,16
231,2014,17
244,2014,18
163,2014,19
86,2014,20
54,2014,21
35,2014,22
222,2014,23
418,2014,24
242,2014,25
479,2014,26
107,2014,27
429,2014,28
66,2014,29
88,2014,30
104,2014,31
156,2014,32
150,2014,33
264,2014,34
416,2014,35
174,2014,36
554,2014,37
359,2014,38
14,2014,39
373,2014,40
3,2014,41
