"TotalScore","YearValue","WeekValue"
22,2009,41
2,2010,40
59,2010,43
3,2010,45
51,2010,46
1,2010,52
7,2011,1
2,2011,2
1,2011,3
36,2011,8
1,2011,11
3,2011,12
2,2011,16
2,2011,18
38,2011,19
2,2011,21
4,2011,26
2,2012,6
2,2012,7
3,2012,8
246,2012,10
1,2012,14
5,2012,16
2,2012,17
1,2012,26
4,2012,31
1,2012,33
2,2012,38
1,2012,44
1,2012,45
9,2012,48
16,2012,51
22,2013,0
4,2013,1
1,2013,2
1,2013,8
2,2013,10
1,2013,11
1,2013,15
2,2013,17
1,2013,20
2,2013,22
3,2013,23
1,2013,24
2,2013,28
1,2013,35
3,2013,39
3,2013,40
1,2013,41
2,2014,5
1,2014,16
1,2014,23
3,2014,30
