id,by,kids,score,time,title,type,url,createdAt,updatedAt
8315616,franciscop,[8316734,8317493,8316652,8315617,8315737,8316308,8316195,8315796,8317610,8316165,8315675,8316041,8316176,8315674,8316107,8315941,8315912,8316014,8316771,8315938,8315906,8316029,8337368,8315916,8316021,8316017,8315905,8315817,8315887,8321308,8315991,8315981,8316199],247,1410714153,Show HN: Picnic.css, a lightweight Bootstrap alternative,story,http://picnicss.com/,2014-10-23 05:30:31,2014-10-23 05:30:31
8329924,Garbage,[8330128,8330089,8330267,8330126,8330227],28,1410962105,Bootstrap-dropdown.js clearMenus() needs ; at the end,story,https://github.com/twbs/bootstrap/issues/3057,2014-10-23 05:30:31,2014-10-23 05:30:31
8336927,codegeek,[8349838,8338217,8339458,8347404,8339529,8338212,8348287,8336997,8338186],18,1411066293,Ask HN: One man bootstrapped SAAS business, do you disclose that to clients?,story,,2014-10-23 05:30:31,2014-10-23 05:30:31
8389950,DominoDataLab,NULL,10,1412100842,Reflections on bootstrapping,story,http://blog.dominoup.com/reflections-on-bootstrapping/,2014-10-23 05:30:31,2014-10-23 05:30:31
8338598,nghuuphuoc,[8339306],8,1411090427,Show HN: Test responsive layout, powered by AngularJS + Bootstrap 3,story,http://responsivetest.net/,2014-10-23 05:30:31,2014-10-23 05:30:31
8381818,kuhnster,[8381864],7,1411969726,The New Google Material Design for Bootstrap,story,,2014-10-23 05:30:31,2014-10-23 05:30:31
8443752,disapproval,[8445840,8444047,8443996],6,1413070954,Ask HN: Solving a founder dispute in a successful bootstrapped startup?,story,,2014-10-23 05:30:31,2014-10-23 05:30:31
8433126,aaxe,NULL,6,1412870007,Sol Orwell on Bootstrapping Examine.com to Profitability,story,http://signaltower.co/sol-orwell/,2014-10-23 05:30:31,2014-10-23 05:30:31
8421606,DaveJn,NULL,6,1412694987,Bootstrap 3 Social Share template,story,http://www.prepbootstrap.com/bootstrap-template/bootstrap-social-share-plugin,2014-10-23 05:30:31,2014-10-23 05:30:31
8400487,olmo,[8400497],6,1412253885,Show HN: Modular LOB Apps in C#/LINQ/WPF/TypeScript/Bootstrap,story,http://www.signumsoftware.com/en/Framework,2014-10-23 05:30:31,2014-10-23 05:30:31
8364719,notastartup,[8365553,8366982,8364851,8365970,8366394,8364728],6,1411601191,Ask HN: Get feedback on my bootstrapped web scraping as a service project?,story,,2014-10-23 05:30:31,2014-10-23 05:30:31
8355003,cgimmer,NULL,4,1411475380,Show HN: Bouton – Bootstrap Button Pack [Free Download],story,http://bootstrapbay.com/demo/bouton,2014-10-23 05:30:31,2014-10-23 05:30:31
8441303,angelostudio,NULL,3,1413003108,Really nice a clean Bootstrap Blog,story,https://wrapbootstrap.com/theme/key-lime-parallax-blog-theme-WB062D26M,2014-10-23 05:30:31,2014-10-23 05:30:31
8388228,scotchio,NULL,3,1412086342,Bootstrap 3 Tips and Tricks You Still Might Not Know,story,http://scotch.io/bar-talk/bootstrap-3-tips-and-tricks-you-still-might-not-know,2014-10-23 05:30:31,2014-10-23 05:30:31
8361245,scottmcquin,NULL,3,1411564853,Tips from Bootstrappers Who Made Something Out of Nothing: Part 2,story,http://abacusmetrics.com/tips-bootstrappers-made-something-nothing-part-2/,2014-10-23 05:30:31,2014-10-23 05:30:31
8356309,codingdog,NULL,3,1411490906,Bouton – Free Bootstrap Button Pack,story,http://bootstrapbay.com/theme/bouton-free-bootstrap-button-pack-B8U3Q03,2014-10-23 05:30:31,2014-10-23 05:30:31
8352081,postwait,NULL,3,1411413943,Entrepreneur ProTips (from a bootstrapper),story,http://lethargy.org/~jesus/writes/entrepreneur-protip/,2014-10-23 05:30:31,2014-10-23 05:30:31
8346698,josuegio,NULL,3,1411290707,Lessons Learned of a Bootstrapper Travel Startup Outside Silicon Valley,story,https://medium.com/@angiecois/our-real-love-are-business-travelers-e98c98080e61,2014-10-23 05:30:31,2014-10-23 05:30:31
8318418,cgimmer,NULL,3,1410784744,Bootstrap vs. Foundation: A Comprehensive Comparison,story,http://bootstrapbay.com/blog/bootstrap-vs-foundation/,2014-10-23 05:30:31,2014-10-23 05:30:31
8318125,nickhould,NULL,3,1410778134,How I Bootstrapped Bootstrappers.io,story,http://blog.bootstrappers.io/how-i-bootstrapped-bootstrappersio,2014-10-23 05:30:31,2014-10-23 05:30:31
