"id","by","kids","score","time","title","type","url","createdAt","updatedAt"
8315224,"yusw","[\"8315565\",\"8315475\",\"8315640\",\"8315403\",\"8352652\",\"8315599\",\"8317033\",\"8315569\",\"8316134\",\"8315415\",\"8318133\",\"8317539\",\"8317114\",\"8316970\",\"8318318\",\"8315624\"]",189,1410703748,"Show HN: ContentBuilder.js – JQuery Plugin to Write Anything Beautifully","story","http://innovastudio.com/builderdemo/example4.html","2014-10-23 05:30:31","2014-10-23 05:30:31"
8359223,"getdavidhiggins","[\"8360012\",\"8359459\",\"8362565\",\"8360374\",\"8359750\",\"8362239\",\"8360437\",\"8359488\",\"8359394\"]",115,1411518427,"Was jquery.com compromised?","story","http://blog.jquery.com/2014/09/23/was-jquery-com-compromised/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8374565,"heyimjuani","[\"8375127\",\"8375884\",\"8374932\",\"8375125\",\"8375693\",\"8375797\",\"8375016\"]",81,1411761673,"Midnight.js: a jQuery plugin to switch headers based on the content below","story","http://aerolab.github.io/midnight.js/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8356062,"dmritard96","[\"8356482\",\"8356357\",\"8356212\",\"8359517\",\"8356480\",\"8356303\",\"8357286\",\"8357049\",\"8357724\",\"8356266\",\"8357546\",\"8356542\",\"8356286\",\"8356344\",\"8356299\"]",78,1411488816,"jQuery.com Malware Attack Puts Privileged Enterprise IT Accounts at Risk","story","http://www.riskiq.com/resources/blog/jquerycom-malware-attack-puts-privileged-enterprise-it-accounts-risk","2014-10-23 05:30:31","2014-10-23 05:30:31"
8356095,"bitwalker","[\"8356188\"]",10,1411489035,"JQuery.com compromised to serve malware","story","http://www.riskiq.com/resources/blog/jquerycom-malware-attack-puts-privileged-enterprise-it-accounts-risk","2014-10-23 05:30:31","2014-10-23 05:30:31"
8334491,"CodeGeekz",NULL,10,1411035704,"15 Excellent JQuery Plugins for September 2014","story","http://codegeekz.com/15-excellent-jquery-plugins-september-2014/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8362513,"bomatson","[\"8362673\",\"8362668\",\"8362708\",\"8362757\",\"8362689\",\"8362747\"]",9,1411577392,"JQuery site hacked","story","http://api.jquery.com/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8350545,"thekenwheeler","[\"8373041\",\"8351573\"]",9,1411394297,"Show HN: Cash – An absurdly small jQuery alternative for modern browsers","story","http://kenwheeler.github.io/cash/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8362508,"anto210","[\"8362908\",\"8362729\",\"8362722\",\"8362743\",\"8362669\"]",7,1411577334,"JQuery hacked","story","http://api.jquery.com/load/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8362342,"symlinkk",NULL,6,1411575874,"JQuery.com Compromised","story","https://twitter.com/jquery/status/514811609752289281","2014-10-23 05:30:31","2014-10-23 05:30:31"
8361807,"vsidamon","[\"8361926\",\"8362484\"]",6,1411570781,"Cash: An absurdly lightweight jQuery alternative","story","https://github.com/kenwheeler/cash","2014-10-23 05:30:31","2014-10-23 05:30:31"
8356027,"geoffb",NULL,6,1411488470,"JQuery.com compromised to serve malware via drive-by download","story","http://www.net-security.org/malware_news.php?id=2869","2014-10-23 05:30:31","2014-10-23 05:30:31"
8363721,"robin_reala",NULL,5,1411588483,"Update on jQuery.com Compromises","story","http://blog.jquery.com/2014/09/24/update-on-jquery-com-compromises/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8354405,"xiunhao888",NULL,5,1411457779,"Particleground–A jQuery plugin for snazzy background particle systems","story","http://jnicol.github.io/particleground/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8325167,"rnyman",NULL,5,1410883375,"WebIDE, Storage inspector, jQuery events, iframe switcher – Firefox Dev Tools 34","story","","2014-10-23 05:30:31","2014-10-23 05:30:31"
8415320,"JeroenRansijn",NULL,4,1412595609,"Show HN: jQuery.input-stepper.js, lightweight input stepper for real world usage","story","https://github.com/AanZee/input-stepper","2014-10-23 05:30:31","2014-10-23 05:30:31"
8354524,"CodeGeekz","[\"8354690\"]",4,1411461540,"Best JQuery Chart Libraries for Building Interactive Charts","story","http://codegeekz.com/best-jquery-chart-libraries-for-building-interactive-charts/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8325319,"bpierre",NULL,4,1410884792,"WebIDE, Storage inspector, jQuery events, iframe switcher – Firefox Dev Tools","story","https://hacks.mozilla.org/2014/09/webide-storage-inspector-jquery-events-iframe-switcher-more-firefox-developer-tools-episode-34/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8329766,"CodeGeekz",NULL,3,1410959785,"Best JQuery Widgets for Developers – Code Geekz","story","http://codegeekz.com/best-jquery-widgets-developers/","2014-10-23 05:30:31","2014-10-23 05:30:31"
8431379,"d3v3r0",NULL,2,1412844991,"Simple jQuery slider tutorial","story","http://alexsblog.org/2014/10/09/simple-jquery-slider-tutorial/","2014-10-23 05:30:31","2014-10-23 05:30:31"
