d,by,kids,score,time,title,type,url,createdAt,updatedAt
8363252,zenogais,[8364339,8364051,8364886,8364151,8364610,8364070,8363993,8364710,8364128],63,1411583787,How to Migrate 50M Records from Mongo to PostgreSQL in Less Than a Day,story,http://tech.plug.dj/2014/09/24/how-to-migrate-50mm-records-from-mongo-to-postgresql-in-less-than-a-day/,2014-10-23 05:30:31,2014-10-23 05:30:31
8401406,giaour,[8402192,8401710,8401679,8401687,8401711,8401680,8401724,8408057,8402210,8405067,8401733,8401685,8401683,8402539,8402177,8403571,8401612,8401701,8401777,8401661,8401671,8402201,8401808,8402156,8402021,8401752],43,1412266726,Ask HN: Does anybody actually use MongoDB anymore?,story,,2014-10-23 05:30:31,2014-10-23 05:30:31
8367357,jraedisch,NULL,14,1411655628,Performance comparison shows Postgres outperforming MongoDB,story,http://blogs.enterprisedb.com/2014/09/24/postgres-outperforms-mongodb-and-ushers-in-new-developer-reality/,2014-10-23 05:30:31,2014-10-23 05:30:31
8312044,unix-junkie,NULL,10,1410604452,A Python/MongoDB framework to handle very large nmap scans,story,http://seclists.org/nmap-dev/2014/q3/456,2014-10-23 05:30:31,2014-10-23 05:30:31
8413582,kennybastani,[8416143],6,1412546174,Switching from MongoDB to Neo4j,story,http://seenickcode.com/switching-from-mongodb-to-neo4j/,2014-10-23 05:30:31,2014-10-23 05:30:31
8435169,alabid,[8435578],4,1412891068,MongoDB tools rewritten in Golang,story,https://github.com/mongodb/mongo-tools,2014-10-23 05:30:31,2014-10-23 05:30:31
8427662,arkham,NULL,3,1412784538,MongoDB Sharding Pitfalls Part II: Running a Sharded Cluster,story,http://blog.mongodb.org/post/99486531903/sharding-pitfalls-part-ii-running-a-sharded-cluster,2014-10-23 05:30:31,2014-10-23 05:30:31
8420414,tilt,NULL,3,1412678486,Mean-stack.io: Source for MongoDB, Express, Angular and Node.js Related Content,story,http://mean-stack.io/,2014-10-23 05:30:31,2014-10-23 05:30:31
8405350,giaour,[8406033],2,1412341953,MongoDB and the Dangers of Schema Rot,story,http://jeskew.github.io/mongodb-and-the-dangers-of-schema-rot/,2014-10-23 05:30:31,2014-10-23 05:30:31
8404744,orkj,NULL,2,1412325673,The Reason I'll never use MongoDB again (2012),story,http://decodify.blogspot.com/2012/09/the-reason-ill-never-use-mongodb-again.html,2014-10-23 05:30:31,2014-10-23 05:30:31
8363663,arunoda,NULL,2,1411587883,MongoDB Oplog and Meteor,story,https://meteorhacks.com/mongodb-oplog-and-meteor.html,2014-10-23 05:30:31,2014-10-23 05:30:31
8354750,dsr12,NULL,2,1411468993,Capture and replay real mongodb workloads,story,https://github.com/ParsePlatform/flashback,2014-10-23 05:30:31,2014-10-23 05:30:31
8336569,webista,NULL,2,1411062309,Why you should use MongoDB. Not always though,story,http://shahalpk.name/post/66958131374/why-you-should-use-mongodb-not-always-though,2014-10-23 05:30:31,2014-10-23 05:30:31
8316427,rbanffy,NULL,2,1410733288,PyMongo almost 2x faster with PyPy,story,http://mictadlo.tumblr.com/post/97461629023/pymongo-almost-2x-faster-with-pypy,2014-10-23 05:30:31,2014-10-23 05:30:31
8445910,grigio,NULL,1,1413134854,MeteorJS Italia 7-nov Torino, JavaScript, Node.js, Mongodb,story,http://leganerd.com/?p=302971&secret=pKRe4v,2014-10-23 05:30:31,2014-10-23 05:30:31
8443163,mirekrusin,[8443165],1,1413055189,Single line Node.js API tests with criteria query in MongoDB format,story,https://github.com/mirek/node-json-criteria,2014-10-23 05:30:31,2014-10-23 05:30:31
8420254,fauria,NULL,1,1412674085,Mongoose Population,story,http://jaketrent.com/post/mongoose-population/,2014-10-23 05:30:31,2014-10-23 05:30:31
8410923,gdltec,NULL,1,1412463679,A simple way to get a MongoDB service running on Wndows,story,http://ricardodsanchez.com/2014/09/03/install-mongodb-service-on-windows-8/,2014-10-23 05:30:31,2014-10-23 05:30:31
8399380,ddispaltro,NULL,1,1412222860,Improvements to Optiq's MongoDB adapter,story,http://julianhyde.blogspot.com/2014/03/improvements-to-optiqs-mongodb-adapter.html,2014-10-23 05:30:31,2014-10-23 05:30:31
8361885,TomStrickland,NULL,1,1411571552,Multiple Data Center MongoDB Replication (Proof of Concept),story,http://www.pubnub.com/blog/multiple-data-center-mongodb-replication/,2014-10-23 05:30:31,2014-10-23 05:30:31
