id,by,kids,score,time,title,type,url,createdAt,updatedAt
8320968,steveklabnik,[8321767,8321350,8321323,8321212,8321427,8321660,8321374,8322187,8323779,8323171,8321756,8321445,8321885,8321226,8321471,8321452,8321918,8321206,8322540,8324799,8324730,8321538,8322901,8321749,8323438],570,1410809713,The Road to Rust 1.0,story,http://blog.rust-lang.org/2014/09/15/Rust-1.0.html,2014-10-23 05:30:31,2014-10-23 05:30:31
8392138,boynamedsue,[8392396,8392363,8392810,8392447,8392483,8395125,8393992,8392569,8392566,8393388,8393568,8392638,8392834,8397064,8393057,8394250],378,1412121520,A Fresh Look at Rust,story,http://lucumr.pocoo.org/2014/10/1/a-fresh-look-at-rust/,2014-10-23 05:30:31,2014-10-23 05:30:31
8422051,steveklabnik,[8422637,8424775,8422930,8423582,8422519,8423133,8422375,8422452,8426177,8422380,8424055,8422656,8422876,8424933,8423481,8422220,8425164,8424541,8422117],337,1412698752,Rust means never having to close a socket,story,http://blog.skylight.io/rust-means-never-having-to-close-a-socket/,2014-10-23 05:30:31,2014-10-23 05:30:31
8433734,bilalhusain,[8433793,8435524,8434331,8433927,8433810,8434322,8435310,8434070],280,1412875045,Rust 0.12.0 released,story,https://mail.mozilla.org/pipermail/rust-dev/2014-October/011267.html,2014-10-23 05:30:31,2014-10-23 05:30:31
8343884,dbaupp,[8345066,8344149,8344245,8344031,8347897,8346401,8343973,8344023,8344684,8344128,8344595,8344120],229,1411195936,Rust lifetimes: Getting away with things that would be reckless in C++,story,http://www.randomhacks.net/2014/09/19/rust-lifetimes-reckless-cxx/,2014-10-23 05:30:31,2014-10-23 05:30:31
8443902,adamnemecek,[8444800,8444292,8444706,8444201,8444758,8449195,8444423,8444334,8445396,8444491,8444845,8444585],228,1413074514,A Doom Renderer written in Rust,story,https://github.com/cristicbz/rust-doom,2014-10-23 05:30:31,2014-10-23 05:30:31
8314766,sebcrozet,[8317625,8317289,8318719],57,1410680771,Ncollide − a Rust 2D and 3D collision detection library,story,http://www.ncollide.org,2014-10-23 05:30:31,2014-10-23 05:30:31
8338503,jonreem,[8338589],24,1411088195,The Road to Rust Web 1.0,story,https://medium.com/@jreem/the-road-to-rust-web-1-0-b712a5b7a973,2014-10-23 05:30:31,2014-10-23 05:30:31
8392080,adamnemecek,NULL,18,1412120693,Multi- and Conditional Dispatch in Traits in Rust,story,http://smallcultfollowing.com/babysteps/blog/2014/09/30/multi-and-conditional-dispatch-in-traits/,2014-10-23 05:30:31,2014-10-23 05:30:31
8408046,steveklabnik,NULL,11,1412376168,Yehuda Katz: Let's Talk about Rust,story,http://confreaks.com/videos/4159-gogaruco2014-lets-talk-about-rust,2014-10-23 05:30:31,2014-10-23 05:30:31
8351513,hamidr,NULL,9,1411406978,Raw system calls for Rust,story,http://mainisusuallyafunction.blogspot.com/2014/09/raw-system-calls-for-rust.html,2014-10-23 05:30:31,2014-10-23 05:30:31
8358870,kmf,NULL,7,1411513542,Bending the Curve: Writing Safe and Fast Native Gems with Rust,story,https://skylight.ghost.io/bending-the-curve-writing-safe-fast-native-gems-with-rust/,2014-10-23 05:30:31,2014-10-23 05:30:31
8311022,adamnemecek,NULL,6,1410564335,Attribute and Macro Syntax in Rust,story,http://smallcultfollowing.com/babysteps/blog/2014/09/11/attribute-and-macro-syntax/,2014-10-23 05:30:31,2014-10-23 05:30:31
8337670,Aaron1011,[8337780],4,1411074922,Thoughts on Rust and Go,story,http://aaron1011.pw/2014/09/18/thoughts-on-rust/,2014-10-23 05:30:31,2014-10-23 05:30:31
8444113,tracyma,NULL,3,1413081395,OpenGL ES 2.0 bindings for Rust,story,https://github.com/servo/rust-opengles,2014-10-23 05:30:31,2014-10-23 05:30:31
8363078,swah,NULL,3,1411582204,Cap'n Proto and Rust: Type Systems for Sharing (Strangeloop Talk),story,https://www.youtube.com/watch?v=A65w-qoyTYg,2014-10-23 05:30:31,2014-10-23 05:30:31
8434026,mindcrime,NULL,2,1412877516,RustyCage – Eclipse Plugin for Rust-lang,story,https://github.com/reidarsollid/RustyCage,2014-10-23 05:30:31,2014-10-23 05:30:31
8423601,jaredonline,NULL,2,1412711736,Roguelike Tutorial in Rust: Part 4 – Combat Part II,story,http://jaredonline.svbtle.com/roguelike-tutorial-in-rust-part-4,2014-10-23 05:30:31,2014-10-23 05:30:31
8398957,Aloha,NULL,2,1412213141,Rust in peace: Photographer captures the demise of America's factory towns,story,http://www.dailymail.co.uk/news/article-2776575/Past-generations-Photographer-captures-demise-America-s-rust-belt-photographs-abandoned-industrial-heritage.html,2014-10-23 05:30:31,2014-10-23 05:30:31
8356148,areski,[8356931],2,1411489467,Rust – Zero Cost,story,http://www.jonathanreem.io/zero-cost/,2014-10-23 05:30:31,2014-10-23 05:30:31
