id,by,kids,score,time,title,type,url,createdAt,updatedAt
8432678,chris-at,[8432888,8432792,8432785,8433590,8432915,8433264,8432796,8433084,8432853,8432918,8432993,8432925,8433180,8432932,8432962,8433184,8432984,8433122,8432949,8432842,8433386,8432938,8432822,8432923],50,1412866306,Hjson, the Human JSON,story,http://laktak.github.io/hjson/,2014-10-23 05:30:31,2014-10-23 05:30:31
8434974,adamnemecek,NULL,15,1412888012,Handling JSON Web Tokens with Angular,story,https://auth0.com/blog/2014/10/01/handling-jwts-on-angular-is-finally-easier/,2014-10-23 05:30:31,2014-10-23 05:30:31
8429010,jeffbarr,[8431102,8429117],11,1412797208,DynamoDB Update – JSON, Expanded Free Tier, Flexible Scaling,story,http://aws.amazon.com/blogs/aws/dynamodb-update-json-and-more/,2014-10-23 05:30:31,2014-10-23 05:30:31
8433160,quantisan,NULL,6,1412870304,Amazon DynamoDB Update: JSON, Expanded Free Tier, Flexible Scaling, Larger Items,story,https://aws.amazon.com/blogs/aws/dynamodb-update-json-and-more/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+AmazonWebServicesBlog+%28Amazon+Web+Services+Blog%29,2014-10-23 05:30:31,2014-10-23 05:30:31
8432492,coreymgilmore,NULL,4,1412864501,Amazon adds JSON support in DynamoDB,story,https://gigaom.com/2014/10/08/amazon-web-services-adds-json-support-to-dynamodb/,2014-10-23 05:30:31,2014-10-23 05:30:31
8425999,elia,[8426890],4,1412759704,Why JSON sucks for configuration files,story,http://dev.mikamai.com/post/99319315864/why-json-sucks-for-user-configuration,2014-10-23 05:30:31,2014-10-23 05:30:31
8422129,skiskilo,[8422180],3,1412699520,JSON formatting and JavaScript,story,http://tech.pro/tutorial/2547/json-format-and-javascript,2014-10-23 05:30:31,2014-10-23 05:30:31
8420014,d2p,NULL,3,1412667609,Newtonsoft.Json NuGet abuses install scripts to earn ad impression/revenue,story,https://github.com/JamesNK/Newtonsoft.Json/pull/387#issuecomment-58133201,2014-10-23 05:30:31,2014-10-23 05:30:31
8417964,chrisgannon,NULL,3,1412626198,Show HN: Mocha AE Data to JSON Converter,story,http://chrisgannon.wordpress.com/2014/06/25/mocha-pro-corner-pin-data-to-json-converter/,2014-10-23 05:30:31,2014-10-23 05:30:31
8431553,jamesmalvi,NULL,2,1412850406,Covnert your json and xml data to JavaScript variable,story,http://codebeautify.org/string-builder,2014-10-23 05:30:31,2014-10-23 05:30:31
8425758,brylie,[8425866],2,1412755346,JSON Web Tokens,story,http://jwt.io,2014-10-23 05:30:31,2014-10-23 05:30:31
8445028,materik,NULL,1,1413114482,RESTful JSON API Design (PART 2),story,http://materik.tumblr.com/post/99806761591/restful-json-api-design-part-2,2014-10-23 05:30:31,2014-10-23 05:30:31
8427428,TomStrickland,NULL,1,1412782445,D3js visualizations for realtime JSON data,story,http://www.pubnub.com/blog/fun-with-d3js-data-visualization-eye-candy-with-streaming-json/,2014-10-23 05:30:31,2014-10-23 05:30:31
8419915,liquid_x,NULL,1,1412664554,Newtonsoft.Json opens browser to ad supported site during install from nuget,story,https://github.com/JamesNK/Newtonsoft.Json/pull/387,2014-10-23 05:30:31,2014-10-23 05:30:31
