"TotalScore","YearValue","WeekValue"
4,2007,7
7,2007,8
1,2007,9
3,2007,10
3,2007,12
3,2007,13
12,2007,14
16,2007,17
1,2007,18
1,2007,32
3,2007,33
7,2007,34
4,2007,35
8,2007,36
2,2007,38
5,2007,39
3,2007,40
9,2007,41
37,2007,42
9,2007,44
1,2007,46
2,2007,48
38,2007,50
2,2007,51
2,2008,1
6,2008,4
10,2008,5
82,2008,6
7,2008,8
40,2008,10
8,2008,11
36,2008,13
1,2008,14
1,2008,18
27,2008,19
2,2008,20
22,2008,21
2,2008,22
17,2008,23
57,2008,24
1,2008,27
2,2008,28
69,2008,30
9,2008,31
49,2008,32
23,2008,35
1,2008,39
10,2008,40
36,2008,44
1,2008,45
7,2008,46
17,2008,48
9,2008,51
1,2008,52
1,2009,5
27,2009,6
5,2009,7
3,2009,8
21,2009,9
5,2009,10
3,2009,12
14,2009,14
6,2009,15
116,2009,17
3,2009,18
91,2009,19
1,2009,21
14,2009,22
11,2009,23
2,2009,24
26,2009,25
107,2009,27
4,2009,28
45,2009,30
38,2009,31
149,2009,32
7,2009,33
6,2009,34
8,2009,37
13,2009,38
1,2009,39
3,2009,40
6,2009,41
2,2009,42
19,2009,43
42,2009,44
1,2009,45
3,2009,46
28,2009,47
13,2009,52
37,2010,1
30,2010,2
30,2010,3
9,2010,4
10,2010,5
5,2010,7
1,2010,8
3,2010,37
3,2010,38
142,2010,39
43,2010,40
54,2010,41
45,2010,42
242,2010,43
24,2010,44
6,2010,45
162,2010,46
97,2010,47
43,2010,48
43,2010,49
6,2010,50
48,2010,51
2,2010,52
75,2011,1
8,2011,2
30,2011,3
147,2011,4
53,2011,5
82,2011,6
246,2011,7
63,2011,8
45,2011,9
202,2011,10
68,2011,11
46,2011,12
14,2011,13
145,2011,14
9,2011,15
66,2011,16
37,2011,17
19,2011,18
137,2011,19
2,2011,20
20,2011,21
15,2011,22
32,2011,24
56,2011,25
87,2011,26
3,2011,27
12,2011,28
62,2011,29
1,2011,30
117,2011,31
491,2012,5
583,2012,6
967,2012,7
177,2012,8
76,2012,9
1516,2012,10
300,2012,11
320,2012,12
90,2012,13
527,2012,14
62,2012,15
316,2012,16
300,2012,17
22,2012,18
31,2012,19
314,2012,20
193,2012,21
28,2012,22
92,2012,23
80,2012,24
155,2012,25
105,2012,26
178,2012,27
183,2012,28
31,2012,29
25,2012,30
70,2012,31
16,2012,32
13,2012,33
1543,2012,34
188,2012,35
94,2012,36
376,2012,37
87,2012,38
934,2012,39
411,2012,40
383,2012,41
198,2012,42
120,2012,43
416,2012,44
331,2012,45
170,2012,46
409,2012,47
936,2012,48
161,2012,49
381,2012,50
385,2012,51
185,2012,52
93,2012,53
216,2013,0
18,2013,1
38,2013,2
395,2013,3
66,2013,4
417,2013,5
188,2013,6
55,2013,7
347,2013,8
60,2013,9
378,2013,10
124,2013,11
131,2013,12
71,2013,13
724,2013,14
325,2013,15
36,2013,16
114,2013,17
92,2013,18
40,2013,19
180,2013,20
48,2013,21
279,2013,22
69,2013,23
16,2013,24
36,2013,25
47,2013,26
208,2013,27
281,2013,28
484,2013,29
490,2013,30
401,2013,31
234,2013,32
545,2013,33
221,2013,34
507,2013,35
82,2013,36
30,2013,37
57,2013,38
483,2013,39
210,2013,40
30,2013,41
380,2013,42
31,2013,43
70,2013,44
395,2013,45
112,2013,46
45,2013,47
108,2013,48
480,2013,49
102,2013,50
125,2013,51
15,2013,52
357,2014,0
128,2014,1
128,2014,2
20,2014,3
588,2014,4
34,2014,5
10,2014,6
415,2014,7
24,2014,8
17,2014,9
381,2014,10
85,2014,11
46,2014,12
204,2014,13
89,2014,14
100,2014,15
18,2014,16
32,2014,17
271,2014,18
23,2014,19
25,2014,20
105,2014,21
15,2014,22
35,2014,23
13,2014,24
185,2014,25
897,2014,26
17,2014,27
684,2014,28
167,2014,29
3,2014,30
129,2014,31
573,2014,32
42,2014,33
22,2014,34
206,2014,35
19,2014,36
312,2014,37
36,2014,38
37,2014,39
25,2014,40
