"TotalScore","YearValue","WeekValue"
2,2007,16
2,2007,39
4,2008,3
5,2008,9
1,2008,11
21,2008,12
7,2008,13
2,2008,33
2,2008,35
35,2008,38
1,2008,48
1,2008,49
1,2009,18
1,2009,22
1,2009,26
19,2009,34
1,2009,35
1,2009,36
5,2009,41
1,2009,43
1,2009,44
1,2009,48
49,2009,50
1,2009,51
4,2010,4
1,2010,5
1,2010,41
3,2010,43
3,2010,46
1,2010,47
2,2010,49
1,2010,50
12,2011,2
271,2011,4
91,2011,8
1,2011,9
4,2011,10
128,2011,13
4,2011,14
151,2011,15
1,2011,16
4,2011,19
4,2011,20
3,2011,21
4,2011,27
2,2011,30
46,2012,5
57,2012,6
127,2012,7
8,2012,8
2,2012,9
210,2012,10
54,2012,11
56,2012,12
18,2012,13
120,2012,14
44,2012,15
214,2012,16
18,2012,17
8,2012,18
124,2012,19
1,2012,20
4,2012,21
5,2012,22
10,2012,23
10,2012,25
253,2012,26
9,2012,27
16,2012,28
3,2012,29
7,2012,30
3,2012,31
127,2012,32
8,2012,33
4,2012,34
69,2012,35
1,2012,36
12,2012,37
10,2012,38
129,2012,39
117,2012,40
3,2012,41
324,2012,42
358,2012,43
199,2012,44
124,2012,45
144,2012,46
238,2012,47
219,2012,48
131,2012,49
27,2012,50
361,2012,51
8,2012,52
3,2012,53
18,2013,0
82,2013,1
3,2013,2
70,2013,3
60,2013,4
176,2013,5
85,2013,6
129,2013,7
7,2013,8
13,2013,9
197,2013,10
7,2013,11
7,2013,12
209,2013,13
6,2013,14
26,2013,15
290,2013,16
8,2013,17
21,2013,18
64,2013,19
11,2013,20
210,2013,21
5,2013,22
17,2013,23
12,2013,24
24,2013,25
94,2013,26
21,2013,27
12,2013,28
25,2013,29
14,2013,30
69,2013,31
3,2013,32
316,2013,33
10,2013,34
3,2013,35
80,2013,36
10,2013,37
2,2013,38
179,2013,39
367,2013,40
75,2013,41
74,2013,42
69,2013,43
17,2013,44
23,2013,45
56,2013,46
69,2013,47
129,2013,48
7,2013,49
112,2013,50
165,2013,51
28,2013,52
7,2014,0
46,2014,1
25,2014,2
18,2014,3
14,2014,4
10,2014,5
14,2014,6
14,2014,7
57,2014,8
7,2014,9
1,2014,10
428,2014,11
9,2014,12
11,2014,13
351,2014,14
94,2014,15
139,2014,16
20,2014,17
88,2014,18
5,2014,19
17,2014,20
16,2014,21
17,2014,22
14,2014,23
21,2014,24
92,2014,25
8,2014,26
9,2014,27
4,2014,28
33,2014,29
7,2014,30
3,2014,31
21,2014,32
11,2014,33
484,2014,34
11,2014,35
23,2014,36
130,2014,37
25,2014,38
38,2014,39
11,2014,40
