"TotalScore","YearValue","WeekValue"
7,2007,8
5,2007,10
1,2007,12
11,2007,13
2,2007,14
3,2007,15
79,2007,17
2,2007,19
4,2007,21
2,2007,23
5,2007,30
6,2007,32
43,2007,33
5,2007,34
7,2007,35
2,2007,36
45,2007,37
1,2007,38
3,2007,39
4,2007,40
32,2007,41
3,2007,42
15,2007,43
14,2007,45
14,2007,46
19,2007,47
2,2007,48
2,2007,49
36,2007,50
27,2007,51
7,2008,1
4,2008,2
39,2008,3
18,2008,4
8,2008,5
23,2008,6
4,2008,7
34,2008,8
5,2008,10
5,2008,11
7,2008,12
19,2008,13
1,2008,14
16,2008,18
1,2008,19
5,2008,20
17,2008,21
7,2008,22
4,2008,23
158,2008,24
1,2008,26
18,2008,27
26,2008,28
30,2008,29
4,2008,30
8,2008,31
3,2008,32
21,2008,33
11,2008,34
11,2008,35
51,2008,36
24,2008,37
39,2008,38
7,2008,39
2,2008,41
20,2008,42
12,2008,43
5,2008,44
54,2008,45
6,2008,46
15,2008,47
83,2008,48
87,2008,49
4,2008,50
1,2008,51
30,2008,52
3,2009,0
7,2009,1
4,2009,2
19,2009,3
70,2009,4
90,2009,5
183,2009,6
89,2009,7
10,2009,8
60,2009,9
88,2009,10
42,2009,11
4,2009,12
38,2009,13
17,2009,14
9,2009,15
293,2009,16
9,2009,17
7,2009,18
1,2009,19
24,2009,20
18,2009,21
52,2009,22
53,2009,23
115,2009,24
28,2009,25
9,2009,26
24,2009,27
7,2009,28
80,2009,29
24,2009,30
32,2009,31
46,2009,32
92,2009,33
19,2009,34
49,2009,35
328,2009,36
100,2009,37
21,2009,38
6,2009,39
6,2009,40
15,2009,41
29,2009,42
24,2009,43
20,2009,44
18,2009,45
70,2009,46
4,2009,47
41,2009,48
39,2009,49
12,2009,50
20,2009,51
5,2009,52
35,2010,0
1,2010,1
9,2010,2
30,2010,3
24,2010,4
58,2010,5
10,2010,6
2,2010,7
9,2010,8
72,2010,37
134,2010,38
407,2010,39
196,2010,40
27,2010,41
423,2010,42
587,2010,43
627,2010,44
94,2010,45
75,2010,46
323,2010,47
612,2010,48
124,2010,49
152,2010,50
54,2010,51
51,2010,52
19,2011,0
43,2011,1
33,2011,2
246,2011,3
8,2011,4
183,2011,5
76,2011,6
11,2011,7
223,2011,8
32,2011,9
17,2011,10
15,2011,11
43,2011,12
308,2011,13
39,2011,14
237,2011,15
68,2011,16
12,2011,17
17,2011,18
137,2011,19
10,2011,20
25,2011,21
26,2011,22
44,2011,23
104,2011,24
54,2011,25
57,2011,26
27,2011,27
51,2011,28
152,2011,29
106,2011,30
7,2011,31
19,2012,5
42,2012,6
236,2012,7
235,2012,8
334,2012,9
127,2012,10
48,2012,11
114,2012,12
24,2012,13
376,2012,14
36,2012,15
23,2012,16
53,2012,17
230,2012,18
20,2012,19
301,2012,20
287,2012,21
9,2012,22
538,2012,23
126,2012,24
89,2012,25
11,2012,26
44,2012,27
62,2012,28
137,2012,29
263,2012,30
222,2012,31
23,2012,32
31,2012,33
60,2012,34
966,2012,35
186,2012,36
97,2012,37
148,2012,38
214,2012,39
78,2012,40
126,2012,41
100,2012,42
49,2012,43
477,2012,44
162,2012,45
434,2012,46
283,2012,47
55,2012,48
99,2012,49
34,2012,50
259,2012,51
43,2012,52
6,2012,53
21,2013,0
67,2013,1
586,2013,2
140,2013,3
49,2013,4
475,2013,5
711,2013,6
25,2013,7
73,2013,8
376,2013,9
103,2013,10
847,2013,11
80,2013,12
268,2013,13
256,2013,14
575,2013,15
130,2013,16
41,2013,17
137,2013,18
57,2013,19
137,2013,20
282,2013,21
52,2013,22
656,2013,23
365,2013,24
177,2013,25
355,2013,26
102,2013,27
24,2013,28
53,2013,29
83,2013,30
575,2013,31
119,2013,32
78,2013,33
156,2013,34
814,2013,35
141,2013,36
158,2013,37
20,2013,38
77,2013,39
93,2013,40
222,2013,41
251,2013,42
478,2013,43
1361,2013,44
112,2013,45
1295,2013,46
33,2013,47
798,2013,48
125,2013,49
540,2013,50
43,2013,51
13,2013,52
196,2014,0
228,2014,1
704,2014,2
95,2014,3
239,2014,4
288,2014,5
13,2014,6
45,2014,7
783,2014,8
57,2014,9
95,2014,10
98,2014,11
259,2014,12
15,2014,13
306,2014,14
212,2014,15
75,2014,16
153,2014,17
44,2014,18
44,2014,19
106,2014,20
29,2014,21
59,2014,22
160,2014,23
52,2014,24
128,2014,25
21,2014,26
31,2014,27
291,2014,28
21,2014,29
118,2014,30
161,2014,31
507,2014,32
423,2014,33
174,2014,34
649,2014,35
401,2014,36
98,2014,37
139,2014,38
30,2014,39
26,2014,40
