"TotalScore","YearValue","WeekValue"
2,2007,11
1,2007,13
17,2007,45
2,2007,46
2,2008,3
1,2008,4
1,2008,5
8,2008,6
18,2008,7
4,2008,9
4,2008,11
3,2008,12
1,2008,13
1,2008,18
12,2008,22
7,2008,23
5,2008,27
4,2008,33
2,2008,34
6,2008,36
1,2008,38
2,2008,39
4,2008,40
1,2008,41
2,2008,42
22,2008,44
1,2008,47
4,2009,1
28,2009,4
20,2009,5
4,2009,6
7,2009,8
36,2009,11
1,2009,13
1,2009,14
2,2009,15
1,2009,17
1,2009,18
20,2009,20
1,2009,21
10,2009,23
1,2009,25
26,2009,26
44,2009,27
9,2009,29
59,2009,31
4,2009,32
1,2009,33
26,2009,34
1,2009,35
1,2009,36
179,2009,38
3,2009,39
4,2009,40
13,2009,42
22,2009,43
1,2009,44
25,2009,45
1,2009,46
12,2009,47
1,2009,48
55,2009,50
101,2009,52
4,2010,2
1,2010,3
3,2010,4
5,2010,5
29,2010,6
1,2010,7
2,2010,8
5,2010,38
165,2010,39
33,2010,40
2,2010,41
43,2010,42
2,2010,44
4,2010,45
6,2010,46
4,2010,47
6,2010,48
109,2010,49
3,2010,50
1,2010,51
1,2010,52
52,2011,1
2,2011,4
3,2011,6
12,2011,7
3,2011,8
12,2011,9
10,2011,11
13,2011,12
4,2011,14
41,2011,15
2,2011,16
7,2011,17
39,2011,18
2,2011,19
56,2011,20
84,2011,21
66,2011,22
21,2011,23
183,2011,24
18,2011,25
63,2011,26
262,2011,27
4,2011,28
8,2011,29
103,2011,30
34,2011,31
3,2012,5
54,2012,6
179,2012,7
42,2012,8
33,2012,9
11,2012,10
7,2012,11
1,2012,12
4,2012,13
62,2012,14
4,2012,15
24,2012,16
7,2012,17
67,2012,18
1,2012,19
3,2012,20
21,2012,21
4,2012,22
4,2012,23
2,2012,25
2,2012,26
364,2012,28
1,2012,29
1,2012,30
79,2012,31
26,2012,32
7,2012,33
13,2012,34
5,2012,35
129,2012,36
6,2012,37
1,2012,38
176,2012,39
108,2012,40
8,2012,41
3,2012,42
4,2012,44
9,2012,45
5,2012,46
0,2012,47
12,2012,48
8,2012,49
114,2012,50
89,2012,51
11,2012,52
209,2012,53
37,2013,0
2,2013,1
12,2013,2
66,2013,3
6,2013,4
148,2013,5
36,2013,6
11,2013,7
5,2013,8
174,2013,9
10,2013,10
7,2013,11
2,2013,12
226,2013,13
10,2013,14
41,2013,15
61,2013,16
135,2013,17
15,2013,18
14,2013,19
17,2013,20
5,2013,21
41,2013,22
185,2013,23
47,2013,24
263,2013,25
405,2013,26
328,2013,27
151,2013,28
701,2013,29
229,2013,30
281,2013,31
299,2013,32
92,2013,33
150,2013,34
1486,2013,35
732,2013,36
38,2013,37
114,2013,38
105,2013,39
443,2013,40
47,2013,41
114,2013,42
22,2013,43
25,2013,44
23,2013,45
67,2013,46
11,2013,47
314,2013,48
25,2013,49
28,2013,50
5,2013,51
60,2013,52
175,2014,0
48,2014,1
13,2014,2
8,2014,3
20,2014,4
3,2014,5
6,2014,6
71,2014,7
109,2014,8
138,2014,9
29,2014,10
9,2014,11
66,2014,13
128,2014,14
228,2014,15
141,2014,16
1,2014,17
32,2014,18
14,2014,19
338,2014,20
15,2014,21
425,2014,22
42,2014,23
18,2014,24
75,2014,25
28,2014,26
9,2014,27
145,2014,28
3,2014,29
15,2014,30
56,2014,31
14,2014,32
57,2014,33
101,2014,34
173,2014,35
277,2014,36
200,2014,37
121,2014,38
632,2014,39
353,2014,40
4,2014,41
