"TotalScore","YearValue","WeekValue"
1,2007,14
1,2007,47
21,2008,3
4,2008,14
2,2008,52
9,2009,19
1,2009,34
8,2009,35
1,2009,39
1,2009,41
1,2009,44
1,2009,46
17,2009,52
1,2010,4
1,2010,6
1,2010,7
2,2010,38
3,2010,39
2,2011,4
1,2011,6
1,2011,8
184,2011,12
1,2011,14
20,2011,15
1,2011,16
1,2011,17
1,2011,18
1,2011,19
1,2011,20
4,2011,21
3,2011,22
1,2011,24
119,2011,28
3,2011,30
2,2012,5
2,2012,11
1,2012,15
2,2012,16
1,2012,20
2,2012,23
1,2012,25
1,2012,27
1,2012,31
0,2012,35
1,2012,36
1,2012,39
1,2012,42
5,2012,44
112,2012,52
7,2013,0
2,2013,1
58,2013,7
1,2013,8
1,2013,11
3,2013,18
3,2013,19
2,2013,22
1,2013,24
2,2013,26
1,2013,27
4,2013,29
2,2013,39
2,2013,40
1,2013,42
164,2013,44
18,2013,45
5,2013,46
1,2013,47
10,2014,1
3,2014,3
2,2014,4
2,2014,5
1,2014,6
2,2014,7
2,2014,8
2,2014,9
1,2014,11
1,2014,12
3,2014,13
1,2014,14
248,2014,17
235,2014,18
23,2014,19
12,2014,20
5,2014,21
2,2014,22
3,2014,23
10,2014,24
16,2014,25
3,2014,27
2,2014,28
3,2014,29
271,2014,30
98,2014,31
3,2014,32
8,2014,33
21,2014,34
3,2014,36
3,2014,37
14,2014,38
8,2014,39
8,2014,40
