"TotalScore","YearValue","WeekValue"
14,2009,39
2,2010,39
1,2011,3
4,2012,5
2,2012,6
2,2012,7
10,2012,9
5,2012,10
11,2012,12
4,2012,13
1,2012,14
1,2012,15
3,2012,17
1,2012,22
1,2012,26
1,2012,27
2,2012,29
2,2012,32
2,2012,37
2,2012,43
10,2012,48
2,2012,51
1,2013,1
5,2013,2
1,2013,3
2,2013,4
1,2013,5
2,2013,6
2,2013,7
1,2013,10
2,2013,11
1,2013,12
4,2013,13
1,2013,14
2,2013,15
1,2013,17
1,2013,18
1,2013,19
2,2013,20
5,2013,21
5,2013,22
1,2013,23
10,2013,25
1,2013,26
1,2013,27
3,2013,29
1,2013,30
2,2013,34
1,2013,35
1,2013,37
2,2013,46
5,2014,0
2,2014,1
16,2014,5
2,2014,7
1,2014,8
6,2014,12
109,2014,15
6,2014,17
2,2014,29
2,2014,32
1,2014,34
