"TotalScore","YearValue","WeekValue"
24,2007,41
2,2008,0
3,2008,1
1,2008,10
1,2008,23
2,2008,26
5,2008,45
24,2008,46
10,2008,47
3,2008,50
1,2008,51
4,2009,0
131,2009,22
12,2009,23
1,2009,27
1,2009,29
4,2009,31
23,2009,32
2,2009,38
1,2009,42
1,2009,43
1,2009,46
14,2009,47
1,2010,1
1,2010,3
2,2010,5
1,2010,6
2,2010,42
1,2010,46
2,2010,49
2,2010,50
1,2010,51
1,2010,52
1,2011,1
1,2011,4
75,2011,9
174,2011,10
1,2011,14
1,2011,28
1,2012,5
2,2012,6
1,2012,8
3,2012,9
4,2012,10
1,2012,11
1,2012,13
1,2012,14
1775,2012,15
624,2012,16
14,2012,17
10,2012,18
3,2012,19
4,2012,20
159,2012,22
16,2012,23
85,2012,24
2,2012,26
1,2012,27
3,2012,28
483,2012,30
43,2012,31
114,2012,32
13,2012,33
68,2012,35
1,2012,37
27,2012,39
5,2012,40
2,2012,41
324,2012,42
60,2012,43
5,2012,44
1,2012,45
18,2012,46
94,2012,47
228,2012,48
1,2012,49
7,2012,50
49,2012,51
1,2012,52
3,2012,53
208,2013,0
116,2013,1
52,2013,2
2,2013,3
41,2013,4
246,2013,5
1339,2013,6
212,2013,7
41,2013,8
83,2013,9
635,2013,10
44,2013,11
3,2013,12
156,2013,13
126,2013,14
15,2013,15
87,2013,16
28,2013,17
298,2013,18
222,2013,19
54,2013,20
17,2013,21
18,2013,22
329,2013,23
17,2013,24
206,2013,25
12,2013,26
61,2013,27
39,2013,28
6,2013,29
7,2013,30
7,2013,31
122,2013,32
36,2013,33
6,2013,34
4,2013,35
87,2013,36
5,2013,37
110,2013,39
171,2013,40
29,2013,41
13,2013,42
318,2013,43
89,2013,44
129,2013,45
31,2013,46
4,2013,47
94,2013,48
100,2013,49
107,2013,50
7,2013,52
14,2014,0
42,2014,1
9,2014,2
36,2014,3
58,2014,4
49,2014,5
46,2014,6
47,2014,7
126,2014,8
21,2014,9
228,2014,10
10,2014,11
113,2014,12
4,2014,13
49,2014,14
144,2014,15
4,2014,16
9,2014,17
37,2014,18
2,2014,19
154,2014,20
2,2014,21
95,2014,22
44,2014,23
13,2014,24
93,2014,25
80,2014,26
22,2014,27
73,2014,28
108,2014,29
27,2014,30
16,2014,31
9,2014,32
11,2014,33
234,2014,34
59,2014,35
18,2014,36
56,2014,37
100,2014,38
13,2014,39
83,2014,40
1,2014,41
