TotalScore,YearValue,WeekValue
4,2007,36
1,2007,46
1,2008,3
53,2008,13
4,2008,19
1,2008,28
2,2008,32
5,2008,33
2,2008,36
4,2008,37
19,2008,38
1,2009,2
2,2009,15
1,2009,16
2,2009,23
7,2009,25
1,2009,26
2,2009,30
2,2009,40
2,2009,43
1,2009,44
1,2009,48
212,2010,1
28,2010,2
7,2010,3
43,2010,4
38,2010,6
7,2010,7
3,2010,39
3,2010,43
2,2010,46
1,2010,47
2,2010,50
33,2011,5
1,2011,6
31,2011,7
4,2011,8
83,2011,10
3,2011,11
3,2011,12
6,2011,14
7,2011,17
2,2011,18
191,2011,19
1,2011,21
11,2011,22
1,2011,24
5,2011,25
266,2011,26
69,2011,27
2,2011,31
2,2012,7
2,2012,8
1,2012,10
1,2012,11
4,2012,12
1,2012,16
5,2012,18
6,2012,20
21,2012,24
320,2012,25
1,2012,27
11,2012,28
129,2012,31
74,2012,32
2,2012,33
4,2012,35
2,2012,36
3,2012,37
2,2012,41
4,2012,42
2,2012,46
1,2012,47
4,2012,48
1,2012,51
2,2012,52
2,2013,1
11,2013,3
2,2013,5
3,2013,6
1,2013,8
3,2013,10
1,2013,11
1,2013,12
3,2013,13
2,2013,14
3,2013,18
18,2013,19
10,2013,20
1,2013,24
130,2013,25
6,2013,26
8,2013,27
2,2013,28
167,2013,29
38,2013,30
1,2013,31
96,2013,33
3,2013,34
6,2013,35
3,2013,37
273,2013,38
4,2013,40
3,2013,41
1,2013,43
7,2013,45
410,2013,48
1,2013,52
9,2014,2
3,2014,3
15,2014,4
5,2014,7
1,2014,8
2,2014,9
291,2014,10
17,2014,11
3,2014,12
4,2014,15
1,2014,16
372,2014,19
3,2014,20
166,2014,21
64,2014,22
5,2014,23
1,2014,26
4,2014,28
5,2014,29
2,2014,30
2,2014,31
176,2014,32
18,2014,33
31,2014,34
72,2014,36
2,2014,37
285,2014,38
2,2014,39
3,2014,41
