TotalScore,YearValue,WeekValue
2,2007,7
1,2007,11
3,2007,12
14,2007,14
7,2007,19
2,2007,20
20,2007,23
3,2007,24
8,2007,25
3,2007,26
3,2007,30
1,2007,31
1,2007,34
14,2007,35
22,2007,36
10,2007,37
7,2007,40
2,2007,42
1,2007,43
4,2007,44
5,2007,45
1,2007,48
1,2007,49
10,2007,50
7,2007,51
2,2008,2
9,2008,4
3,2008,5
4,2008,6
3,2008,7
4,2008,8
4,2008,9
4,2008,10
2,2008,11
10,2008,12
42,2008,13
14,2008,14
11,2008,19
28,2008,20
4,2008,21
14,2008,22
8,2008,23
1,2008,24
1,2008,25
7,2008,26
4,2008,27
10,2008,28
12,2008,30
53,2008,32
12,2008,33
7,2008,34
20,2008,35
61,2008,36
2,2008,37
7,2008,38
13,2008,39
15,2008,41
5,2008,42
147,2008,44
38,2008,45
13,2008,46
1,2008,47
6,2008,48
74,2008,49
14,2008,50
5,2008,51
1,2008,52
13,2009,0
7,2009,1
21,2009,2
27,2009,3
17,2009,4
8,2009,5
9,2009,6
84,2009,7
6,2009,8
24,2009,9
11,2009,10
4,2009,11
64,2009,12
6,2009,13
1,2009,14
32,2009,15
4,2009,16
192,2009,17
73,2009,18
27,2009,19
11,2009,20
7,2009,21
2,2009,22
5,2009,23
44,2009,24
14,2009,25
13,2009,26
4,2009,27
29,2009,28
15,2009,29
108,2009,30
11,2009,31
11,2009,32
6,2009,33
174,2009,34
17,2009,35
24,2009,36
35,2009,37
10,2009,38
18,2009,39
15,2009,40
8,2009,41
2,2009,42
15,2009,43
34,2009,44
101,2009,45
8,2009,46
80,2009,47
2,2009,48
12,2009,49
51,2009,50
96,2009,51
4,2009,52
1,2010,0
20,2010,1
6,2010,2
18,2010,3
40,2010,4
67,2010,5
7,2010,6
46,2010,7
90,2010,8
10,2010,37
150,2010,38
22,2010,39
6,2010,40
209,2010,41
21,2010,42
10,2010,43
31,2010,44
65,2010,45
33,2010,46
74,2010,47
130,2010,48
46,2010,49
24,2010,50
52,2010,51
7,2010,52
14,2011,0
8,2011,1
62,2011,2
30,2011,3
236,2011,4
7,2011,5
33,2011,6
100,2011,7
29,2011,8
12,2011,9
117,2011,10
151,2011,11
71,2011,12
126,2011,13
29,2011,14
42,2011,15
14,2011,16
91,2011,17
45,2011,18
24,2011,19
25,2011,20
21,2011,21
181,2011,22
258,2011,23
82,2011,24
91,2011,25
53,2011,26
15,2011,27
90,2011,28
106,2011,29
21,2011,30
84,2012,5
33,2012,6
30,2012,7
9,2012,8
146,2012,9
100,2012,10
71,2012,11
631,2012,12
141,2012,13
243,2012,14
163,2012,15
37,2012,16
239,2012,17
80,2012,18
50,2012,19
40,2012,20
73,2012,21
17,2012,22
30,2012,23
220,2012,24
35,2012,25
141,2012,26
26,2012,27
518,2012,28
48,2012,29
33,2012,30
17,2012,31
42,2012,32
23,2012,33
16,2012,34
77,2012,35
117,2012,36
185,2012,37
12,2012,38
290,2012,39
118,2012,40
110,2012,41
334,2012,42
116,2012,43
151,2012,44
13,2012,45
48,2012,46
20,2012,47
12,2012,48
19,2012,49
44,2012,50
197,2012,51
27,2012,52
82,2013,0
74,2013,1
43,2013,2
6,2013,3
406,2013,4
221,2013,5
38,2013,6
131,2013,7
18,2013,8
86,2013,9
101,2013,10
252,2013,11
263,2013,12
481,2013,13
426,2013,14
104,2013,15
220,2013,16
369,2013,17
106,2013,18
19,2013,19
43,2013,20
470,2013,21
337,2013,22
398,2013,23
449,2013,24
13,2013,25
1089,2013,26
271,2013,27
422,2013,28
152,2013,29
22,2013,30
288,2013,31
220,2013,32
545,2013,33
64,2013,34
432,2013,35
789,2013,36
32,2013,37
239,2013,38
49,2013,39
41,2013,40
313,2013,41
240,2013,42
20,2013,43
163,2013,44
127,2013,45
512,2013,46
118,2013,47
93,2013,48
403,2013,49
392,2013,50
394,2013,51
256,2013,52
300,2014,0
533,2014,1
761,2014,2
202,2014,3
83,2014,4
98,2014,5
215,2014,6
205,2014,7
430,2014,8
53,2014,9
121,2014,10
146,2014,11
448,2014,12
33,2014,13
626,2014,14
206,2014,15
685,2014,16
705,2014,17
208,2014,18
191,2014,19
392,2014,20
314,2014,21
1188,2014,22
497,2014,23
359,2014,24
20,2014,25
545,2014,26
198,2014,27
792,2014,28
179,2014,29
752,2014,30
67,2014,31
466,2014,32
78,2014,33
344,2014,34
22,2014,35
584,2014,36
956,2014,37
121,2014,38
568,2014,39
875,2014,40
231,2014,41
