TotalScore,YearValue,WeekValue
2,2007,33
16,2008,4
3,2008,5
4,2008,10
2,2008,23
38,2008,24
52,2008,25
4,2008,26
1,2008,30
3,2008,31
26,2008,32
64,2008,35
2,2008,44
1,2008,52
26,2009,10
23,2009,18
1,2009,19
4,2009,22
31,2009,25
2,2009,26
3,2009,29
12,2009,31
5,2009,36
2,2009,42
1,2009,46
2,2009,48
5,2009,50
16,2009,51
4,2009,52
1,2010,4
74,2010,37
48,2010,38
5,2010,39
4,2010,40
3,2010,42
6,2010,45
6,2010,46
38,2010,47
1,2010,48
3,2010,49
3,2010,52
21,2011,1
27,2011,2
143,2011,3
2,2011,4
52,2011,5
12,2011,8
30,2011,9
44,2011,10
8,2011,11
51,2011,14
43,2011,16
1,2011,17
26,2011,19
2,2011,20
136,2011,21
1,2011,22
37,2011,23
41,2011,24
2,2011,25
3,2011,26
3,2011,27
1,2011,28
66,2011,29
19,2011,30
15,2012,5
1,2012,7
1,2012,8
21,2012,9
4,2012,10
169,2012,14
1,2012,15
1,2012,21
1,2012,22
1,2012,24
1,2012,29
3,2012,30
1,2012,34
4,2012,35
7,2012,36
1,2012,40
2,2012,46
2,2013,1
2,2013,4
1,2013,8
3,2013,12
2,2013,13
22,2013,16
2,2013,20
92,2013,24
2,2013,25
1,2013,26
2,2013,31
2,2013,35
2,2013,37
1,2013,39
1,2013,40
1,2013,44
4,2013,46
1,2013,47
1,2013,49
2,2013,52
9,2014,3
2,2014,4
2,2014,5
29,2014,9
3,2014,10
1,2014,18
1,2014,19
4,2014,21
1,2014,23
1,2014,24
2,2014,30
104,2014,31
1,2014,33
