"TotalScore","YearValue","WeekValue"
1,2009,31
1,2009,32
93,2009,37
5,2009,38
1,2009,39
4,2009,41
8,2009,42
3,2009,48
16,2009,49
8,2009,51
1,2010,1
2,2010,3
4,2010,4
36,2010,5
17,2010,7
3,2010,8
41,2010,37
94,2010,38
25,2010,40
2,2010,42
9,2010,44
12,2010,48
31,2010,49
45,2010,50
5,2010,51
2,2011,0
48,2011,1
8,2011,3
1,2011,4
14,2011,6
82,2011,7
55,2011,8
8,2011,9
110,2011,10
59,2011,11
26,2011,12
5,2011,13
174,2011,14
42,2011,15
308,2011,16
137,2011,17
12,2011,18
307,2011,19
209,2011,20
33,2011,21
3,2011,22
31,2011,23
385,2011,24
418,2011,25
82,2011,26
24,2011,27
110,2011,28
14,2011,29
6,2011,30
9,2012,5
53,2012,6
115,2012,7
4,2012,8
15,2012,9
7,2012,10
12,2012,11
18,2012,12
2,2012,13
102,2012,14
48,2012,15
5,2012,16
7,2012,17
219,2012,18
45,2012,19
57,2012,20
413,2012,21
98,2012,22
5,2012,23
56,2012,24
2,2012,25
52,2012,26
12,2012,27
11,2012,28
224,2012,29
12,2012,30
7,2012,31
11,2012,32
71,2012,33
7,2012,34
74,2012,35
22,2012,36
4,2012,37
3,2012,38
188,2012,39
10,2012,40
49,2012,41
5,2012,42
26,2012,43
40,2012,44
57,2012,45
246,2012,46
44,2012,47
21,2012,48
4,2012,50
6,2012,51
26,2012,52
4,2012,53
10,2013,0
244,2013,1
145,2013,2
64,2013,3
174,2013,4
111,2013,5
237,2013,6
197,2013,7
21,2013,8
10,2013,9
338,2013,10
205,2013,11
49,2013,12
8,2013,13
3,2013,14
84,2013,15
226,2013,16
9,2013,17
8,2013,18
5,2013,19
193,2013,20
7,2013,21
148,2013,22
19,2013,23
8,2013,24
294,2013,25
59,2013,26
9,2013,27
170,2013,28
67,2013,29
10,2013,30
131,2013,31
327,2013,32
381,2013,33
2,2013,34
287,2013,35
26,2013,36
293,2013,37
3,2013,38
169,2013,39
5,2013,40
22,2013,41
10,2013,42
16,2013,43
23,2013,44
479,2013,45
77,2013,46
40,2013,47
433,2013,48
87,2013,49
8,2013,50
9,2013,51
17,2013,52
3,2014,1
51,2014,2
3,2014,3
56,2014,4
16,2014,5
6,2014,6
476,2014,7
200,2014,8
14,2014,9
5,2014,10
390,2014,11
7,2014,12
277,2014,13
4,2014,15
11,2014,16
15,2014,17
1,2014,18
33,2014,19
299,2014,20
4,2014,21
154,2014,22
42,2014,23
53,2014,24
4,2014,25
3,2014,26
12,2014,27
103,2014,28
70,2014,29
71,2014,30
24,2014,31
194,2014,32
31,2014,33
148,2014,34
13,2014,35
44,2014,36
51,2014,37
18,2014,38
28,2014,39
25,2014,40
